issue_key,description,summary
FEATURE-5019,"Consolidation of - 
 FEATURE-4459
 FEATURE-4526
 FEATURE-4656

Per June 2015 Reqs.

Add new changes until Oct. 2018 requirements:
 FEATURE-3617: Tethering (WI-FI Hotspot / USB Tethering / BT Tethering) Entitlement 
 FEATURE-4435: VZW : EN: WiFi : setting to avoid bad WiFi connection and use cellular data , while warning user about data usage charges
 FEATURE-4829: VZW: ""Tethering & Mobile Hotspot"" setting shall be moved to top level and below ""Bluetooth"" and renamed to ""Mobile Hotspot and Tethering"" 
 FEATURE-4905: VZW: Oct. 2015: SIM removal while MHS is on shall result in user notification 
 FEATURE-4907: VZW Feb. 2016: WIFIUI changes: Alert user about WiFI Setting changes impacting WiFI calling and WIFI ConnectivityVisual Metaphor 
 FEATURE-5106: VZW Oct. 2014: Req-WIFI-MHS SSID configuration.
 FEATURE-5368: VZW : Updates to Mobile Hotspot requirements
 FEATURE-5981: VZW : Emergency Notification # EN-2018-08-02 Auto Connect to PrivateMobileWiFi

 

8/3/2021

FEA",VZW : WiFi User Interface changes
FEATURE-5020,"Consolidation of  - 

FEATURE-1045
FEATURE-4548
FEATURE-4583
FEATURE-4985",Caller  ID Application for Android Devices
FEATURE-5067,"Consolidation of - 

FEATURE-4128
FEATURE-4496",FEATURE - 5067: VZW DemoMode support
FEATURE-5186,"*Problem:*
- Cargo theft increased 30% in Brazil since 2010, mainly in SE region; 
(where Motorola and customers warehouses are located)
- Securities / insurance costs us USD 2.1M/year;
- Magazine Luiza (national retailer) loses USD1.8M/year; 
- Shoplifting and robbery impacts distribution (increase delivery frequency).


*Proposed solution:*
Include stolen devices in a blacklist once a robbery is reported, so they cannot be used anymore after first network connection.
",Pre-Activation Kill Switch (PAKS)
FEATURE-5260,"Req 4. In Settings>About Phone>Status>IMEI Information, display the following:
MEID (D): 18 character decimal
MEID (H): 14 character hexadecimal
IMEI (D) : 14 character IMEI decimal

In Settings>About Phone>Status>SIM status, display the UICCID.

This will meet the requirements for the following USC requirements:
USCC_UI-85
USCC_UI-87	

PS: These are primarily for USC but requirement 4 (MEID hex and Dec) applies to Tracfone also

*Update 8/1: Consolidated FEATURE-3200 into this feature to apply for Tracfone as well since requirements are the same. Updated title of feature to remove USC direct reference.*
Per Dengfeng:There are two parts for FEATURE-3200:
-Settings : could be consolidate with FEATURE-5260
-Dialer: it is in GMS Dialer now, no moto change.",Device Identification in Settings Menu
FEATURE-5317,"*T-Mobile : Roaming TRD Consolidated Feature - Q3-2021*
Consolidates - FEATURE-5326, FEATURE-5327, FEATURE-5695

This TRD covers general requirements that are specific to domestic and international roaming for T-Mobile. Service specific roaming requirements will be covered by individual services TRDs.

3.1 IP type in PDN connectivity request while roaming (Mandatory) ID: GID-MTRREQ-364302
3.2 UI and option to toggle status for roaming mobile data (Mandatory) ID: GID-MTRREQ-302705
3.3 Default value for roaming mobile data (Mandatory) ID: GID-MTRREQ-302706
3.4 Roaming indicator (Mandatory) ID: GID-MTRREQ-302708
3.5 LTE (E-UTRAN) band support when roaming (Mandatory) ID: GID-MTRREQ-306304
3.6 LTE (EUTRAN) TDD bands for roaming (Mandatory) ID: GID-MTRREQ-306305
3.7 UTRAN FDD bands for roaming (Mandatory) ID: GID-MTRREQ-306403
3.8 Data warning pop-up (Mandatory) ID: GID-MTRREQ-313001
3.9 Logic flow for roaming (Mandatory) ID: GID-MTRREQ-376901
3.10 IMS services while roaming (",T-Mobile : Roaming TRD Consolidated Feature - Q3-2021
FEATURE-5409,"*APN Details*
 - *ATT APN FEATURE-7016 >* *APPLIES TO 5G/non-5G 06/10/2020 (refer IKSWR-95814)*
|Profile name|TRACFONE|
|Homepage|[http://m.tracfone.com|http://m.tracfone.com/]|
|Proxy|Not set|
|Port|Not set|
|APN|ereseller|
|MMSC|[http://mmsc.mobile.att.net|http://mmsc.mobile.att.net/]|
|MMS Proxy|proxy.mobile.att.net|
|MMS Proxy Port|80|
|Authentication Type|None|
|MCC|310|
|MNC|410, 280 (IKSWQ-61095)|
|APN Type|default,mms,supl|
|APN Protocol|IPv4/IPv6|
|APN Roaming Protocol|IPv4/IPv6|
|Bearer|Unspecified|

 - *ATT Hotspot APN* FEATURE-6360
 *REQ_01* The following APN should be used for hotspot if the Entitlement Check (FEATURE-6095) has been successful.
 *REQ_02* ATT Mobile Hot Spot
 *REQ_03* APN should be hidden and non-editable
|Profile Name|Resellermht|
|Access Point Name|resellermht|
|User Name|None|
|Password|None|
|Authentication Type|None|
|Proxy Server Address|None|
|Proxy Port Number|None|
|MMSC|None|
|MMS proxy|None|
|MMS port|None|
|APN Ty",Tracfone : APN Details
FEATURE-5563,"*Requirement Modification history:*
* 16-Mar-2018: Enable this feature for FirstNet MCC+MNC as well
* 25-Feb-2017: TMo change was implemented first. Added TMo requirement here as there is no corresponding feature. The change was directly implemented using IKSWN-28508

*ORIGINAL Requirements*
Removal of “Enhanced LTE Services” Switch
Requirement to allow user to turn off VoLTE in UE is being removed from *13340 17.3 and 18384 UX requirements*
Change needed to ensure all users are getting VoLTE service and to support UMTS RAN shutdown plans.
",AT&T & Cricket:<Hide Enhance LTE service option>
FEATURE-5600,"*COMCAST*
 Implementing Wi-Fi Calling for Comcast devices by leveraging Verizon's Wi-Fi Calling specs for MVNOs and lightweight library package.

Please refer to the spec and implement all the relevant requirements to manage E911, OPT-IN/OUT, HANDOVER, STATE MGMT., and other WFC items by leveraging AOSP WFC.

*Update (9/24)*
 Comcast has shared XFINITY-WFC-REQ v1.1 spec.
 - *WFC-1* The OEM shall follow Verizon wholesale requirements for Voice Over WiFi feature and the Verizon E911 Address Management and Feature Provisioning API specification.
 - *WFC-2* OEM shall use Comcast Terms and Conditions URL for WiFi calling Terms and Conditions instead of Verizon Terms and Conditions. The URL for the Comcast Terms and conditions is - [https://xfmo.co/wifitc]
 - *WFC-3* OEM shall use Comcast recommended error messages for Address Validation Errors and EAP Client errors as outlined in Sheets attached to this document.

*(Updated 10/05)* 
 Comcast has shared XFINITY-WFC-REQ v1.2 spec.","Verizon MVNOs [Comcast, TracFone, LRA] : Wi-Fi Calling"
FEATURE-5745,"- Accept/Reject Video Call from a closed device
- Handle Camera Rotation and Flip when Closed
- Handle seamless transition between Closed->Open with ongoing video call",Voyager : Carrier Video Calls when device closed
FEATURE-5749,"*+Updates to Feb 2018 requirements+*

+​VZ_REQ_ANDROID_40380+
*MVS*
Doesn't require following permissions anymore
-android.permission.READ_EXTERNAL_STORAGE-
-android.permission.WRITE_EXTERNAL_STORAGE-

*Security & Privacy*
App Name: Verizon Security & Privacy
Package Name: com.securityandprivacy.android.verizon.vms
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.SEND_SMS
android.permission.RECEIVE_SMS
android.permission.READ_SMS
android.permission.RECEIVE_WAP_PUSH
android.permission.RECEIVE_MMS
android.permission.READ_PHONE_STATE
android.permission.CALL_PHONE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE

+​VZ_REQ_ANDROID_39023+
DO mode updates as attached in PDF","VZW : DO mode updates , Permission changes for MVS, Security & Privacy app  "
FEATURE-5764,"This feature covers implementation of Wi-Fi Calling Support for ATT Retail and MVNOs like (Tracfone, Consumer Cellular) on pure line. The implementation should be based on ATT Wi-Fi Calling Requirements with the AOSP UX. 

The feature porting from custom to pureline should primarily focus on the following requirements.

*Tracfone AT&T SIMs SES URL* - https://sentitlement2.mobile.att.net/WFC 

*<CDR-WiFi-1020> Service Enablement*
Summary: Wi-Fi Calling service will be in a “Disabled” state initially for all users. User can use the Wi-Fi Calling Toggle to enable the service. When the user try to turn Wi-Fi Calling Toggle on for the first time, the device shall perform the following:
· Initiate a SIM Device Activation and Push Token Registration procedure to SES (Secure Entitlement Server)
· Initiate a VoWiFi Service Entitlement Check to SES (Secure Entitlement Server)
· Initiate the Location Registration and TC Acceptance Status Check procedure to SES and post the web sheet for",TracFone : TF ATT WFC  + Consumer Cellular : CC ATT WFC
FEATURE-5899,"As per direction received, all 2020 Verizon stock devices need to be CDMA-Less.
{quote}
Updates from Leadership team is to make GIN(FIJI) NA as CDMA-Less as Pilot project and rest of 2020 VZW devices will still be with CDMA

Attached the document on decision for 2020
{quote}
All the CDMA-Less requirements have been spread across multiple documents
Reqs-DataRoaming.docx
Reqs-IMS.docx
Reqs-LTE_DataDevices.docx
Reqs-LTE_Multi-ModeDevice_Operations.docx
Reqs-LTE-PCO.docx
LTE_SMS_Requirements.pdf (OA)
Reqs-Wi-Fi-MobileHotSpot.docx
Reqs-LTE-VoLTEDeviceService.docx
Reqs-LTE-E911_LTEOnlyOrLTEMulti-Mode Devices.docx
Reqs-OTADM_Diagnostics.docx
Reqs-Voice Over WiFi

Test documents for CDMA-Less are here
https://drive.google.com/open?id=1QfVwYPh_iJ_IcOSnb5y2d2JgqHsMY-Mc

*+Android+*
{quote}1.2.59	SUPPORT TO CDMA-LESS DEVICES VZ_REQ_ANDROID_38850
1.2.59.1	DESCRIPTION VZ_REQ_ANDROID_38851
Devices that do not support 1X-RTT must be modified to hide/remove references to CDMA",VZW : CDMA-Less for Verizon devices starting 2020
FEATURE-5954,"- Enable Google Dialer VVM for TF TMO SIMs
- There should not be any TMO branding
- [MCC/MNC/GID|https://docs.google.com/spreadsheets/d/1AbIDLsC50AvehQlo5XeYrIGZHrOshuKpnnF7UF6BKm8/edit#gid=2096508835&range=A1] - should be in-base already
- -Past Google b/79733179-",Tracfone : Enable VVM Support for TF TMO SIMs
FEATURE-5991,"Low battery Indication on call - GID-MTRREQ-5825

The device in a voice call with the battery being low, must provide an periodic audible alert for at least 1 minute before shutdown. 
",T-Mobile - Low Battery Alert during Call
FEATURE-6101,"Re-use  Vo-WiFI solution  from Comcast for Visible deivces. 

Verizon has confirmed that APK will be same that is used for wholesale devices.

The following will be SIM configuration for Visible
•	MCC/MNC: 311 480
•	EF_GID1: BAE1000000000000
•	EF_GID2: 1A00000000000000

APKs will be shared once received from Verizon.

New Requirements as on 1-Feb-2019 (from Suhas)
Similar to VZW can we use ADMIN APN to access T&C , Address Query & Add interactions?
* Vzw>> Admin APN = yes
Please confirm if the T&C URL is same as that of Verizon.
* Vzw>> To be confirmed, but asked us to go ahead with this for now
There are some roaming related settings for Wifi calling as to allow what network is preferred (Wifi or Cellular) while roaming. For Visible we will hide or Greyout this options as there is no roaming agreements. Please confirm our understanding. You can use Ref: VZW’s LTE-RCS-UI-Guidelines-4.pdf
* Vzw>> Roaming = this is a topic for End of 2019. Agreed to grey out. Need to clo",VISIBLE :  Vo-WiFI solution for Visible devices
FEATURE-6121,"Support a quick launch of Google Assistant using the power HW button. 

This needs to be supported on Stingray & Moto G8 

Requirements :
(1) Under setting -> Gestures default this gesture ""double press power key"" to ""Launch Google Assistant"" OOB 
(2) For the above gesture provide user option to change ""double press power key"" to ""Launch camera"" 
(3) For the above gesture provide user option to change ""double press power key"" to ""none"" 
(4) This above setting replaces the ""Jump to Camera"" setting as is , however we should be able to maintain consistency with values in the Settings Provider  (set to 0 or 1 based upon the value of this setting) for other device settings being transferred during setup.

This is similar to what was done on Amazon devices for the Alexa trigger ref: https://idart.mot.com/browse/FEATURE-5620 

reference UI : https://docs.google.com/presentation/d/14gb-VxEV1GaHxjAEFG0M_ZEU_5tkH4y0fhmUNOaCU-I/edit#slide=id.g307ec49d60_0_0",[Android Gesture enhancement] Using double press of power button to launch Google Assistant
FEATURE-6141,"<CDR-IR94-3654> ePDG Tunnel Indicator 
 Summary: The device shall have an indicator in the status bar when the device is connected to the ePDG. Please refer to CDR-WiFi-1440.

Updated in 18384 UX requirement.
 1) VC23 : When receiving a 2-way video call, Receiver sees at least the following: A large self-video (fix hair mode), smaller caller image or avatar if no image is available, “Video Call from <Initiator name>, <Caller phone number>, or ”Unknown caller””, and controls to accept or reject video call, or answer as voice call. If other Caller identification data are available, (e.g. “Charity”, “telemarketing”, etc), the additional data can be displayed as well. For Caller ID display, the Initiator name must be displayed if available. If Initiator name is not available, then Caller phone number must be displayed if available.

The new additional requirement is Caller Identification data part need CBS own Caller Id to support.

*Consolidated feature-5243 and feature-6156* 05-0",AT&T&Firstnet <Video Calling and UCE of 18384> NPI
FEATURE-6192,"*Per USCC latest requirement to include VoWiFi calling on NPI.*

U.S. Cellular has renewed business interest in launching VoWiFi by Q4 2019.
 
We have a unique opportunity in having device influence USCC’s overall architecture if there is a quicker time-to-market, and as such are requesting any technical implementation details (whitepapers, call flows, etc) of Motorola’s preferred client solution for E911 address collection.
 
For example, details of a REST API that Motorola has already implemented through which customer-entered address could be sent to a server would be useful so that we can engage with server vendors and minimize impact on Motorola.
 
But, again – alternatively if Motorola has a more preferred path please share that as well as the quickest time to market will be the chosen path.
",USCC:< VoWiFi calling for NPI>
FEATURE-6205,"This feature consolidates the work required for integrating Verizon Cloud and its related customization (up to Oct 2018 specification)

FEATURE-3648: Integrate Cloud APK(From Synchronus) and provide launch points for Contacts and Gallery
 FEATURE-3871: Integrating Cloud into Setup Wizard
 FEATURE-4364: Enable attaching photo to contact from cloud
 FEATURE-4893: Support VZW cloud in file manager
 FEATURE-5369: VZW : Updates to Verizon Cloud app integration
 FEATURE-4981: Integrate Cloud APK (from Synchronoss) for Prepaid without Setup Integration
 Reqs-SETUPWIZARD USER INTERFACE 
 [https://drive.google.com/open?id=1s4H7kJFQ07nTjvNp_FvtuF5Z9okb_Pvz]
{quote}1.2.13 CLOUD VZ_REQ_SETWIZUI_30130
 1.2.13.1 Cloud requirements VZ_REQ_SETWIZUI_15120
 1.2.13.2 Waiting indicator VZ_REQ_SETWIZUI_15121
 1.2.13.3 BUA VZ_REQ_SETWIZUI_15122
 1.2.13.4 Back key VZ_REQ_SETWIZUI_15171
 1.2.13.5 Progress indication VZ_REQ_SETWIZUI_39006
 1.2.13.6 Skipping Cloud without activation VZ_REQ_SETWI",VZW :  Verizon Cloud Integration and Customization
FEATURE-6206,"This feature consolidates the work requirements for integrating Verizon settings requirements and all the customization.
FEATURE-1984: Femtocell icon [36883]
FEATURE-2924: Remove CDMA only mode from System Selection menu [39325]
FEATURE-3616: NFC: Setting to enable / disable UI security prompts by user
FEATURE-3620 Setting UI requirements
FEATURE-3693: SEND CALLS TO VOICEMAIL
FEATURE-3704: VZW Reqs-PlatformSecurity: Device Lock when SIM is removed & Root status setting
FEATURE-3867 Implement ""Software Update"" option in the first level of device settings menu
FEATURE-4192 Last factory Reset and ICCID format
FEATURE-4232 Menu Option for Data Usage display Units
FEATURE-4262 Setting to view  prepay account
FEATURE-4398: Device Hardware Version setting field
FEATURE-4714: Oct 2015: VZW NFC UI Pop-Up text change
FEATURE-4720: Remove MEID from Settings
FEATURE-4831: Include Emergency Alerts access point in settings
FEATURE-4860: Disable SIM Lock Support
FEATURE-4894: Change S",VZW : Settings requirements integration and customization
FEATURE-6216,"This feature consolidates the work required for integrating Verizon Voice over WiFi calling service (up to Oct 2018 specifications):
 FEATURE-4536: Provide VzW Voice-over-Wifi Calling enabler support
 FEATURE-4537: Provide VzW Voice-over-WiFi Calling App/UI support
 FEATURE-4812: VzW VoWiFi testing configuration Support
 FEATURE-4980: Advanced Calling Settings for VT and VoWiFi
 FEATURE-5994: VZW : Emergency Notification # EN-2018-10-01 Voice Over Wi-Fi Opt In Notification

 

4/12/2022

FEATURE-7056 VZW : Voice over Wifi calling (WFC) updates from Oct 2020 (In base functionality, no impact to s/w, but keeping it for requirements coverage)

 
{quote}*++**This consolidated feature covers all Verizon requirements up to Oct 2021 requirements and any new updates will be covered in new feature*
{quote}",VZW : Voice over Wifi calling (WFC) requirements consolidation
FEATURE-6224,"Voyager VZW uses our own Calling app, which supports CLI UI.

LATAM / EMEA builds use GMS Dialer, which will not support CLI until Android R.

That said, we need  yet another Dialer which supports both CLI and LATAM/EMEA requirements.

-          5/15 The new CXD design finalized
-          6/1 Feature architecture locked down
-          6/15 Common code integrated
-          7/15 Feature integrated into bp-c 
-          8/15 Feature complete (100%)

The current Voyager VZW Calling CLI need to be adjusted because it was based on Voyager VZW main display UI, which provides the DROID experience behavior. However, Voyager ROW’s main display mostly follow the AOSP behavior. To provide consistent experience between main and CLI AND a common CLI experience for all AOSP devices, CXD need chime in to work out a new design.",[Voyager] AOSP Dialer support for CLI (LATAM/EMEA)
FEATURE-6239,"Summary:
 Additional requirement for Network lock, Cleanup SUW privacy policy requirement, Feature flag to detect prepaid devices, Whitelist S&P, VLA apps for Doze & Data saver.

*+Modified requirements:+*
 *VZ_REQ_ANDROID_40390* ADD SUPPORT TO VZW APPS IN DOZE MODE BY WHITELISTING APP FROM BATTERY OPTIMIZATIONS LIST

Added following apps additionally
 - Verizon Security & Privacy com.securityandprivacy.android.verizon.vms
 - Verizon location agent com.telecomsys.directedsms.android.SCG

*VZ_REQ_ANDROID_5885313* IMPLICIT BROADCASTS
 - update to intent

*+New requirements:+*

-*VZ_REQ_ANDROID_10598638* Feature Flag to identify if the device is prepay (applicable only for new 4G basic devices that have the same prepay and postpay model name and launched after 02/01/2019){color:#FF0000}{color}-     {color:#FF0000}NOT APPLICABLE FOR SMARTPHONES{color}

*VZ_REQ_ANDROID_10971224* SUPPORT TO ANDROID OS BUILD APIs FOR NETWORK LOCK

*VZ_REQ_ANDROID_9700175* SETUP WIZARD INTEG",VZW : Android requirements updates from Feb. 2019 spec
FEATURE-6445,"Verizon  released  a draft proposal for 
[Amazon Alexa requirements.|https://drive.google.com/open?id=1UWAmJ4Moe2DbKxR027KElWJrLXctFTg8]

Based on discussions with Verizon on [Motorola Analysis| https://docs.google.com/document/d/1scQqj2NmmLn7mWmnuHEb8kw6-I6BM0FBtCTw-fAtd-Q/edit]
the following work items needs to be handled to meet the requirements on Verizon stock devices

{color:blue}*+For Moto Z3 and Moto Z4 Q upgrades+*{color}
==>Port the following features from US Amazon retail builds to Verizon Stock

- FEATURE-5924: Amazon Prime - Add Alexa Hands Free Tile to the Quick Settings First Page
{quote}As per Verizon request placement should be on bottom right position{quote}
- FEATURE-5620 - Alexa app launch for devices using Hard Key Trigger

==>Amazon Shopping Icon placement on the Home screen  as per requirement 
- _for new device activations and FDR cases_

==>Continue to support the AMOK based SDK from Amazon. VZW is OK w/ this

{color:blue}*+For 2020 NPIs  onwa",VZW : Amazon Alexa enablement for Verizon
