Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-102015,"0. Notes :
- If tester is not in Brazil, Use TMO carrier in both devices (DUT and Support) to run this case at live network or using a femtocell.
- Check Confluence to learn how to use the SMS CIn tool :https://confluence.mot.com/display/PLAT/SMS_CIn+tool+-+Sending+provisioning+messages

1. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of application being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode.

XML provisioning document with right settings should be used for this test (test_028.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing
3. Note: Ignore step 4 if the test is not being running in Europe.","0. From the Provisioning server, send the provisioning document to the phone.	

1. Select notification. Accept the new APN Profile when prompted on the phone, enter the authentication pin and add APN profile.	
2. Verify the APN Profile is present on the phone.	
3. Browse the operator web page using the new APN Profile. 	
","0. Verify that new notification in the Notification Bar is displayed.
1. Verify that the phone prompts for the end user to accept or ignore the new APN profile.

2. Verify that the APN Profile is created correctly on the phone and all settings match the provisioning document.

3. Phone can browse web pages.",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support FEATURE-3650 Latam_Reg Plat_Reg common_validation_reg difficulty_level_medium execute_live_latam_china product_validation_reg
MCA-102016,"0. A Provisioning client to be configured. A Provisioning server connected to the Internet. The Client doesn't have existing APN profile with the name  of application being provisioned . Phone registered to the GSM or UMTS network. Phone is in full_ui mode.

XML provisioning document with incorrect settings should be used for this test (test_030_X.xml). The User Pin should be provided.

Priority given to customer client provisioning server if available. Otherwise use the Motorola NowSMS server.  Carrier requirements refers primarily to Verizon, Vodafone, and T-Mobile Europe for now.

You can download XML at: https://drive.google.com/a/motorola.com/folderview?id=0B-A2luimi8RUfjVpQjNsNGxqcmUzd2VYNjY3cU5ZWW5BbjduNHpWaWhYcEVlckVmQVdVelk&usp=sharing","0. From the Provisioning server, send the provisioning document to the phone.	","0. Verify that no new notification in the Notification Bar is displayed. This message will not be processed.
",Messaging,OMACP,Messaging,BB8_not_applicable Brazil_Support CN_BR_Support Latam_Reg OMACP common_validation_reg difficulty_level_medium network_dependent
MCA-102019,,"0. 1. Dial following OTASP numbers.
*228
*22899
*22880","0. 1.1 Device should show ""Phone Activation"" message.
1.2 The OTASP numbers should NOT be shown in call logs.
",CBS,VZW,CBS - VZW,BB8 Plat_Reg VZW_Reg common_validation_reg execute_davros execute_davros_brazil execute_davros_china execute_davros_india execute_femtocell_vzw product_validation_reg
MCA-1022,"0. 1.There are some musics with album metadata in phone storage or sdcard
2. Phone screen lock should not be none status","0. 1.Start to play musics and wait phone display timeout and screen is locked
2.After display time , try to light on phone screen not unlock the phone .Check what is shown in phone screen","0. 1.1 Music should be played 
1.2 Display timeout works and phone screen should locked
2.1 Phone screen should be lighted on by pressing powerkey. 
2.2 Phone keep in screen locked status .
2.3 Music album is shown by full screen.
2.4 Seek music to another one , Album also will be changed
2.5 Pause and resume music function should work",GMS,Music,"GMS,UX",BB8_not_applicable GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent
MCA-1023,"0. 1. Enable phone screen lock .
2. Music player is running on background","0. 1. Light on phone screen , try to operate media player","0. 1.1 Media control UI should be shown as a notification in locked screen .
1.2 User should be able to control media playback ,",GMS,Music,"GMS,MME - Audio,MME - Image,UX",BB8 GMS_Reg binary_leverage common_validation_reg no_efficiency non_network_dependent
MCA-1029,"0. Phone/SD Card has albums with images and Videos.
6. Ensure that SD card in the phone ,and pictures saved in SD cards","0. Photos -> Open to view an image -> Edit
1. Modify Image by applying 2 edit options: any filter and then crop 
2. Cancel edition
3. Try each sub effects in Editor categories and save the edited photo copy
4. Delete the photo in zoom in/out mode
5. Try Undo edits button when you edit photos
6. Selected  picture1 in internal storage, edit and save

7. Selected picture1 in SD card, edit and save
8. Please try following interaction events when you edit  photos:
 - call
 - sms/mms
 - lock/unlock screen
 - cable/charger plug/unplugg","0. Editor is Launched
1. Changes in Image can be seen for each edit option applied
2. The image is reverted back to original and all previous edit options is removed
3. Check each edited photos, make sure they are saved correctly
4. photo should been deleted
5. Verify if edit steps can be undone
6. Picture1 is saved and saved to internal storage not saved to SD card

7. Picture1 is saved and saved to internal storage;
8. No ANR/FC/Tombstone/Panic and other defect can be trigged",GMS,Gphotos,MME - Image,BB8_not_applicable EDA_updated GMS_Reg binary_leverage common_execute_local_network common_validation_reg difficulty_level_medium network_leverage
MCA-1032441,0. DUT is flashed with the latest build,"0. Open Moto Help App

1. Go To Learn Tab and choose a topic 

2. Change the orientation to Landscape Mode 

3. Get a Incoming call 

4. Accept the Call and end the Call after a brief conversation 

5. Get a incoming Hangout / Alarm / Message notification","0. Moto Help App can be successfully opened

1. Topic is successfully loaded and content is legible for reading

2. App content remains in the potrait mode and shall not change to landscape mode 

3. Incoming call notification is successful

4. Call is answered successfully and on ending the call the device remains in Help app

5. Incoming notifications are successful does not have any adverse effects on Help app and none of these cause any panics/freezes on the DUT",Mot Experience,MotCare/Help,"Call,GMS,Moto Apps",Exp_Reg analyzed common_validation_reg difficulty_level_medium moto_help
MCA-1032443,"0. 1. Location is set to High Accuracy
2. If Device Help Preloaded, skip the steps 1 to 4

","0. Open Device Help App

1. Go To Fix Tab -> Find Service Center 

2. Choose a Service center and click on Directions 

3. Close Device Help App

4. Place the DUT in to Low Battery Mode and Launch the Device Help

5. Place the DUT in to Safe Mode and Launch the Device Help","0. Device Help App can be successfully opened

1. Service centers list is displayed successfully

2. Maps should be launched , Directions to the service center should be shown successfully

3. App can be closed successfully

4. App functionality is not impacted because of Low Battery Mode and panics/freezes are not observed on the DUT 

5. App functionality is not impacted because of Safe Mode and panics/freezes are not observed on the DUT",Mot Experience,Device Help,"Moto Apps,Power Manager",Exp_Reg analyzed common_validation_reg difficulty_level_medium moto_help
MCA-1032444,"0. 1. Set Software channel to retin (Retail India). You can do that using programutags before flashing the device.
2. Device must be connected to network, WiFi or Mobile data
3. Location is set to various modes","0. Open Moto Help App

1. Go To Find Service Center 

2. Choose a Service center and click on Directions 

3. Close Moto Help App","0. Moto Help App can be successfully opened

1. Service centers list is displayed successfully

2. Directions to the service center is shown successfully

3. App can be closed successfully",Mot Experience,Device Help,"Location,Moto Apps",APAC_Reg analyzed common_refactored common_validation_reg difficulty_level_low moto_help
MCA-1033733,"0. - OTA Update available
- Download and install google-keystoretester.apk here: (link in the comment beside)

- For this test MUST BE USED a secure HW with CID != 0 and proper signed build

4. Have an OTA Campaign (incremental) available;
For SMR products is recommended an SMR build update (source);","0. Set a PIN to lock screen
- Enable ""Require PIN on boot"", if available
1. Open Keystore tester app before OTA update
2. Select CREATE KEYS option
3. Select USE KEYS option
4. Perform the OTA update
5. Check DUT boots normally
6. Open Keystore tester app and select USE KEYS option","0. PIN lock set successfully
1. App opens successfully
2. Keys are generated without error
3. Keys usage works without error
4. Update is successful
5. No errors occurred
6. Keys can be used without problem",Security,Keystore,Security,BB8 Core_Reg Plat_Reg common_validation_reg execute_local_non_network non_network_dependent product_validation_reg secure_hw
MCA-103435,"0. 1. Encoding method is set to GSM 7-bit encoding.user has a SMS which has chars from GSM 7bit table.
Note: The encoding option is seen as Use simple characters enabled by default (Messages > Three-dot menu > Settings > Advanced)

2. To reach the state to resend a SMS, try to send a message and promptly put DUT in airplane mode, after try to send another SMS, the icon to resend the message should appears","0. Select option to resend the message
1. Send the SMS
2. Verify the message log","0. The text shall be moved to the text field allowing user to send the SMS again
1. The message is sent correctly
2. Message was sent using 7 bit table",CBS,LATAM,"Messaging,Modem",BB8 CN_Partial_Support Latam_Reg MTK_Reg common_refactored common_validation_reg execute_local_network network_dependent network_leverage
MCA-103476,"0. A SMS conversation is present on device

Note: Use this link to access the GSM 7-bit table
https://docs.google.com/a/motorola.com/spreadsheets/d/17D5Uv-cZJ14UQLr1gbd7zmOjVrtfn3nqnGKONiG2mTQ/edit?usp=sharing","0. On conversation screen under messenger, long press a message bubble with an SMS and select the option to Forward a message.
1. Type a valid number and send the message
2. Verify the message log","0. Message composer is displayed to user with the correctly content.The Message counter is correctly updated in Message composer.
1. The message is sent correctly
2. Message was sent using 7 bit table",CBS,LATAM,"Messaging,Modem",BB8 CN_Partial_Support Latam_Reg MTK_Reg common_validation_reg execute_local_network network_dependent network_leverage
MCA-103479,"0. The encoding method is set to GSM 7-bit.


2. TIM Carrier only","0. Write a SMS having mixed characters 7-bit and non 7-bit chars.

1. Send the message

2. Verify the message log
","1. The message is sent correctly

2. Message was sent using GSM 7-bit table, the  non 7-bit chars will be converted to nearest 7-bit ones as per the existing table.
",CBS,LATAM,"Messaging,Modem",BB8 CN_Partial_Support Latam_Reg MTK_Reg common_validation_reg execute_local_network network_dependent network_leverage
MCA-103481,"0. The encoding method is set to GSM 7-bit.


1.  TIM Carrier only","0. Write a SMS having few characters from non GSM 7-bit tables

1. Verify the message log
","0. The message is sent correctly

1. The message counter is correctly updated, counting 1 count for each character entered in Message composer
",CBS,LATAM,"Messaging,Modem",BB8 CN_Partial_Support Latam_Reg MTK_Reg common_validation_reg execute_local_network network_dependent network_leverage
MCA-103482,"0. The encoding method is set to GSM 7-bit.

Note: Use this link to access the GSM 7-bit table
https://docs.google.com/a/motorola.com/spreadsheets/d/17D5Uv-cZJ14UQLr1gbd7zmOjVrtfn3nqnGKONiG2mTQ/edit?usp=sharing
","0. Write a SMS using all characters from GSM 7-bit tables

1. Send the message

2. Verify the message log

3. Receive a SMS using all characters from GSM 7-bit tables","1. The message is sent correctly

2. Message was sent using GSM 7-bit table

3. Message was received using GSM 7-bit table",CBS,LATAM,"Messaging,Modem",BB8 CN_Partial_Support Latam_Reg MTK_Reg common_validation_reg execute_local_network network_dependent network_leverage
