JIRA_FEATURE_ID_CF_12210,description,summary,Comments
FEATURE-3965,,FEATURE-3965: Send MMS when mobile data is disabled,"In order for us to test this feature on Live Network, we'd need brazilian entries on vendor.xml for CarrierConfig. However, none was found. We still need this to be added on Burton or other target device that contais BR entries.
[~a22642] this is a test only plan.  Can you commit to it?

[~renano] FYI"
FEATURE-4134,,FEATURE-4134: AT&T Voice Services Support,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Porting feature test completed."
FEATURE-4162,,FEATURE-4162: Handling of Custom APNs - AT&T ABS Requirement,"Already present on S 
Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Feature test porting completed."
FEATURE-4444,,FEATURE-4444: Add and Edit APN Name on USC Device,"After further discussions USC will use R2 as its baseline.  Thus removing the A12 R1 Need label.
As there are no USC upgrades or NPI launches planned for A12 R0 or A12 R0, moving this plan to A12 R2.
Austin has been ranged by USC and these features are now needed to be included in A12 R1 so adding the A12 R1 Need label.
It's already on S: https://sse.am.mot.com/s_source/search?q=isFtr5717Enabled&defs=&refs=&path=&hist=&type=&project=mr-r-qsm2021
This feature needs to be verified in USC carrier, but as of now we don’t have any ranged device with USC to validate it.  As a result marking as an ms2 exception.
Updating to R1 as there are no USC upgrades off of R0 and no products are available for testing."
FEATURE-4448,,FEATURE-4448: Integrated Visual Voice,"Dependency on Sprint third-party preload. Need to double check with SmithMicro(Sprint/TMO) if updated apk will be released for Android S. [~wch683] FYI...
It was tested using a Denver with Orange Boost SIM card."
FEATURE-4491,,FEATURE-4491: VZW Setup Wizard Features Consolidation,
FEATURE-4562,,FEATURE-4562: Change the behavior of FEATURE-4028 to remove the SIM card selection option from the data setup dialog,
FEATURE-4627,,FEATURE-4627: US Retail - Manual DM sync support for Verizon VoLTE provisioning aligned with Nexus,Verified on Denver Retail S software SRE32.28.
FEATURE-4628,,"FEATURE-4628: US Retail - Enable Entitlement for AT&T, Sprint, Consumer Cellular (TMO MVNO & AT&T MVNO), Defense Mobile (AT&T MVNO) and disable for others","Feature test completed, considering AT&T (Retail NA) the main coverage.
The other Plans covering MVNOs are in progress. 
Test CWV updated.  The plan is ms2_exception."
FEATURE-4645,,FEATURE-4645: [AW] Support Android Work on X-Line (w/multiuser),"Verified on build - motorola/burton_retail/burton:S/SPB32.34
[~a22642] this is a test only plan.  Are you able to commit to it?

[~tgb348] FYI"
FEATURE-4646,,FEATURE-4646: [AW] Support Android Work on Droid Line products,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Hi [~a20760], 

The Int CWV date is past due for this plan.  Can you either update it or the Int Actual date if you have already integrated it?"
FEATURE-4692,,FEATURE-4692: Quick Panel for Dual SIM (select SIM for data),"All changes in SystemUI are merged now.
Alright [~mvt647]
Thanks!
Assigning to [~wangyl17] since his team is already working on this feature on CR IKSWS-69803.
Further details on the redesign needed can be found here: [DDS management via quick settings in Android 12 (FEATURE-4692 update) - Google Docs|https://docs.google.com/document/d/1MDeY7BgUiNN1O9B45hRhtrIrcmkBNBl1tY3fsWCzroA/edit]
Hello [~josegsp]
 Was this feature integrated?
 Can you link Integration CR and update Integrate dates?

Best Regards,
Renan Oliveira
Hi [~renano], this feature is in the scope of the S bringup, so we don't have a specific CR to cover the code.

Thanks,

Ana
New work to be developed in IKSWS-3520
RPADX-6010 Plan Created For: 
FEATURE-4692: {color:#326ca6}Quick Panel for Dual SIM (select SIM for data){color} on Release: 
RPADX-5277 ADX S_Rel1
RPADX-6322 Plan Created For: 
FEATURE-4692: {color:#326ca6}Quick Panel for Dual SIM (select SIM for data){color} on Release: 
RPADX-5277 ADX S_Rel1
The previous spec document implemented until R1 products:
https://docs.google.com/document/d/1MDeY7BgUiNN1O9B45hRhtrIrcmkBNBl1tY3fsWCzroA/edit 

New internet panel implemented in SystemUI app for R2 products onward:
!systemui-internet-panel-001.png|width=240! !systemui-internet-panel-002.png|width=240!

I've talked to [~roseane] and [~caioluiz] about this change in Google AOSP. 
Please, reach me out anytime when implementing this feature in SystemUI app.
+[~dvx436]/ [~gabrieln]
This feature was moved to SystemUI app: RPADX-6322.
This feature was recently impacted by a change in Google AOSP.  The initial implementation was done in Settings but with the AOSP changes a rework is needed in System UI.
This is an MS2 exception as their is new work being covered by RPADX-6010 this depends on.
We need to maintain both feature versions in Settings and SystemUI apps: RPADX-6010
[~dvx436] please commit to this plan.
[~roseane], I've just checked some code in SystemUI app:
https://sse.am.mot.com/s_source/xref/ms-r-qmsi_all/frameworks/base/packages/SystemUI/src/com/android/systemui/qs/tiles/dialog/InternetDialog.java
https://sse.am.mot.com/s_source/xref/ms-r-qmsi_all/frameworks/base/packages/SystemUI/res/layout/internet_connectivity_dialog.xml

The code implemented by Google in Settings app was a little restricted and we couldn't make some changes requested by CxD team, but it seems in SystemUI app there isn't any restriction/difficulty regarding UI/UX requests. We probably can have a better version of this feature now.
[~roseane], [~rafaelml] are you able to commit to this plan?
[~wangyl17] can you please commit to this plan?
[~wangyl17] the CR linked to this plan has been closed?  Has the feature been integrated?  If yes can you please update the Integrate Actual date on the plan?

[~renano] FYI
h1. *Feature Analysis*
 * 1. Test SIMs – Yes
 * 2. Network – Live / WiFi - Yes (Mobile Data and WIfi)
 * 3. Target/Reference Hardware Availability – A12R2
 * 4. Any Clarifications From Dev Team – See below
 * 5. Any Dependency <Other Feature/Component/Tool/etc...) – MotoSafe Portal, Third-party Financed Device solution apps - No
 * 6. Risk level involved in test Development – Low
 * 7. Expected total Number of cases – 19
 * 8. Risk level involved in test execution – Low
 * 9. Test Execution dependency in Percentile -- non_live  (Explanations are [here|https://docs.google.com/spreadsheets/d/1dC6mu8lAzS86kLsMdt5rr9orlW3qXp0A3-QcpQxwlYA/edit#gid=1083395672])

h3. *Clarifications From Dev Team*
 * Are the changes just visual on the Internet Slice (in relation to the actual solution for Android S)?
 * Is there any impact on the Internet screen within Settings?
 * The A12R2 device upgrades already have these changes, shouldn't it just be NPIs?
 * Should both SIMs be listed in the Internet Slice?
 * When clicking ""Done"" should the notifications curtain continue to be displayed or should it be closed?

Hi [~caioluiz], could you help us clarifying above doubts?"
FEATURE-4896,,FEATURE-4896: Modify Airplane setting description and Airplane Notifications,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Hi [~daoliv]

As part of this feature, I see that you port some changes here - [https://sse.am.mot.com/r_source/xref/mr-r-qsm8350/frameworks/base/packages/SystemUI/src/com/android/systemui/qs/MotoConfirmationStubActivity.java#148]

There is a fix associated with the same - please refer to details at [IKSWP-75774|http://idart.mot.com/browse/IKSWP-75774] and plan to add this fix along with the feature integration so that it does not get missed later.

FYI  - [~a21143]
[~daoliv] the Int CWV date is past due for this plan.  Can you update the Int Actual date if you have integrated it or the Int CWV date if it hasn't been updated yet? "
FEATURE-5019,,FEATURE-5019: VZW : WiFi User Interface changes,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
Avoid bad wifi connection feature will use AOSP solution on S as per IKSWS-36049. Major differences are switch text, switch summary and no dialog will be shown.

 Please update compliance sheet [~a19591]
[~jcamelo], [~mvt647] the Int CWV for this plan is past due.  Please update the CWV date or if it is integrated update the actual date please."
FEATURE-5020,,FEATURE-5020: Caller ID Application for Android Devices,
FEATURE-5067,,FEATURE-5067: FEATURE - 5067: VZW DemoMode support,"Adding adx_not_ready_for_test since apks we're using are from Android 11 and not Android 12

[~a19591] FYI
As agreed, please make basic tests using Android 11 version while we don't receive Android 12 compatible ones
Depends on RPADX-5815 to be tested. Please hold tests until RPADX-5815 is integrated and Activated screen is present on SUW."
FEATURE-5186,,FEATURE-5186: Pre-Activation Kill Switch (PAKS),"*Feature Test Analysis*
 * 1. Test SIMs – No SIM  
 * 2. Network – Live / WiFi
 * 3. Target/Reference Hardware Availability – NPIs
 *  4. Any Clarifications From Dev Team –
 * 5. Any Dependency <Other Feature/Component/Tool/etc...) – Alcatraz, Paid APKs
 * 6. Risk level involved in test Development – MEDIUM
 * 7. Expected total Number of cases – 5
 * 8. Risk level involved in test execution – MEDIUM
Changing Integrate CWV, as we will need more time to review all the gerrits.
Currently, PAKS app is not working because Checkin is not happening and the device ID is not generated. We checked that _DeviceManagement_ component is not included in the S build and also checked with [~a14614] (his team maintains ccc components) and they are still working on Checkin due to some permission restrictions in Android S. They are expecting to push our changes by 27 July. So we are changing *_Integrate CWV_* to 30/Jul/21 because the PAKS depends on the device ID to work correctly which is generated during Checkin. 
RPADX-6065 Plan Created For: 
FEATURE-5186: {color:#326ca6}Pre-Activation Kill Switch (PAKS){color} on Release: 
RPADX-5277 ADX S_Rel1
We are changing Integrate CWV to 23/Jul/21 because we waiting for NotifLib validation to complete the feature validation. 
[~vhra] did NotifLib team confirmed their lib is ready? Are we on track for Friday? Thanks!"
FEATURE-5260,,FEATURE-5260: Device Identification in Settings Menu,"For USC I can say we don't need this anymore. They have ranged Ellis and Tonga. 

Device they have currently ranged Sofia, Sofia+, Guam and Borneo will not get S upgrade. 

 

+ [~nadeemp] - for TF.
Verified on burton:S/SPB32.34/2363f:userdebug/intcfg,test-keys
[~wch683] could you please confirm if we will still have any CDMA device on Android 12? Since this feature is only applicable to CDMA, I was wondering rather we need to drop it or keep supporting"
FEATURE-5317,,FEATURE-5317: T-Mobile : Implement new Roaming TRD,[~malaguti] the Test CWV date for this plan is past due.  Can you update it please?
FEATURE-5379,,FEATURE-5379: T-Mobile : Manual Network Selection Requirements,
FEATURE-5409,,FEATURE-5409: Tracfone : APN Details,"Make TRACFONE.VZWENTP as default preloaded class 3 APN for all TF VZW SIMs (5G and non-5G)
RPADX-6121 RRB Request Approved (Add) 
RPADX-6126 Plan Created For: 
FEATURE-5409:Tracfone : APN Details on Release:
RPADX-5277:ADX S_Rel1"
FEATURE-5563,,FEATURE-5563: AT&T & Cricket:<Hide Enhance LTE service option>,Feature test porting completed.
FEATURE-5600,,FEATURE-5600: Comcast : Wi-Fi Calling,
FEATURE-5745,,FEATURE-5745: Voyager : Carrier Video Calls when device closed,"All video call related functionality working fine. Issue reported was related to camera-engine. So removed that issue for feature completion.
Moving this out to A12 R2 since Odyssey isn't getting upgraded until R2.
[~jrdk47] the test CWV date is past due.  Could you please update it?
[~wcw014] There were no target dates mentioned for CR fixes. Mainly Camera app is not working that is blocking video call features. I am not sure when above CRs will be resolved. Could you please follow up. I am moving dates

 "
FEATURE-5749,,"FEATURE-5749: VZW : DO mode updates , Permission changes for MVS, Security & Privacy app",Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
FEATURE-5764,,FEATURE-5764: ATT Retail + MVNO Support : WFC Support,
FEATURE-5899,,FEATURE-5899: VZW : CDMA-Less for Verizon devices starting 2020,"Applied the a12r1 label at creation when it should have been a12r0.  Fixing it.
No Android S Verizon CDMA less Device so adding ms2 exception."
FEATURE-5954,,FEATURE-5954: Tracfone : Enable VVM Support for TF TMO SIMs,"RPADX-5143 RRB Request Approved (Add) 
RPADX-5154 Plan Created For: 
FEATURE-5954:Tracfone : Enable VVM Support for TF TMO SIMs on Release:
RPADX-4178:ADX R_Rel1
Received the VVM Enabled Tracfone SIM from Ivy, Testing in Progress
[~tgb348], I see this plan had a test CWV of today and doesn't have any open CRs.  Can you update the CWV date?"
FEATURE-5991,,FEATURE-5991: T-Mobile - Low Battery Alert during Call,"Retail NA (TMO) scope is being covered by TP: https://kaiju.motorola.com/#/dalekReports/savedDalekReport/6710694297993216
The feature is working fine for voice calls, however, since video call is still not integrated (ETA Sep-10th), I'm completing this plan and will check it on the full feature plan soon."
FEATURE-6101,,FEATURE-6101: VISIBLE : Vo-WiFI solution for Visible devices,"[~a19591] has confirmed to use APKs of previous OS.
[~wcw014]: dependency on VZW preloads. Need to wait for Vzw confirmation if new set of APKs will be released for ""S""

[~a19591]: Pls check with Vzw and confirm back"
FEATURE-6121,,FEATURE-6121: [Android Gesture enhancement] Using double press of power button to launch Google Assistant,
FEATURE-6141,,FEATURE-6141: AT&T&Firstnet <Video Calling and UCE of 18384 18.3> NPI,"Feature test (porting) completed.
Hi [~dth436],

Could you inform me if this RPADX is ready to test?

Tks!
[~fabianaj]: Yes, this can be tested
[~wcw014]: This should remain for A12.R1, as there is dependency on Summit"
FEATURE-6144,,FEATURE-6144: AT&T&Cricket&Firstnet< Advance Messaging Service RCS> NPI,"Now RCS is enabled for ATT & TMo as FW team has integrated Summit apks.
As of now till IKSWS-6090 & IKSWR-135012 get fixed, Test team need to follow the below workaround to test RCS

1) carrier configuration doesn't work (stuck in searching): https://idart.mot.com/browse/IKSWS-6090
Please sideload the carrier configuration to test it.
{noformat}
adb root
adb disable-verity
adb reboot

adb root
adb remount
adb push ./rcs_config_sideload.xml /data/user_de/0/com.motorola.rcsConfigService/files/rcs_config_sideload.xml
adb shell am broadcast -a com.motorola.carrierconfig.NEW_CONFIG_FILE_RECEIVED com.motorola.rcsConfigService
adb shell sync
adb reboot
<test it>
{noformat}

2) Please run it on permissive mode for now.
CR: https://idart.mot.com/browse/IKSWR-135012
{noformat}
adb root
adb shell setenforce permissive
{noformat}
[~wcw014]: Dependency on Summit APKs"
